"nodegoat ID";"Object ID";Name;"Source Object ID";"Source Value";Analysis;"Alternativer Organisationsname";"Teil von Organisation - Object ID";"hat Teilorganisation - Object ID";"[hat Feldpostnummer] Feldpostnummer";Typus
ngEL1A88pFrQqGVyoFN68tLBbFYBuQLBrFo;11876618;"2. Kompanie Infanterie-Divisions-Nachrichten-Abteilung 330";;;;;;;37725;"Staatliche Organisation"
ngAH1M48lBRM8CRqkB527pHNxLUW6MHFnCO;11876614;"1. Kompanie Panzer-Pionier-Bataillon 675";;;;;11876691;;13447;"Staatliche Organisation"
ngNU7d98yOEZ3PElxNm7ycUAkPHKdZUeaOB;12016979;"Deutsche Sängerbundeszeitung";;;;DSBZ;12016978;;;Verein
ngNU7d98yOEZ3PElxNm7ycUAkPHKdZUeaOB;12016979;"Deutsche Sängerbundeszeitung";;;;"amtliches Organ des Deutschen Sängerbundes";12016978;;;Verein
ngNU7d98yOEZ3PElxNm7ycUAkPHKdZUeaOB;12016979;"Deutsche Sängerbundeszeitung";;;;"amtl. Organ d. Deutschen Sängerbundes";12016978;;;Verein
ngNU7d98yOEZ3PElxNm7ycUAkPHKdZUeaOB;12016979;"Deutsche Sängerbundeszeitung";;;;"Zeitschrift für das gesamte Chorwesen";12016978;;;Verein
ngNU7d98yOEZ3PElxNm7ycUAkPHKdZUeaOB;12016979;"Deutsche Sängerbundeszeitung";;;;"Zeitschr. f. d. gesamte Chorwesen";12016978;;;Verein
ngKR7W68vMRW6MBeuK749zRThLkHaWRXxMO;12016976;"Deutscher Chorverband";;;;;;;;Verein
ngGN7a28rGNS7IXwqIP0tvNVdGADwSNbtGK;12016972;Gemeindeverwaltung Murg;;;;"Bürgermeisteramt Murg";;;;"Staatliche Organisation"
ngGN7a28rGNS7IXwqIP0tvNVdGADwSNbtGK;12016972;Gemeindeverwaltung Murg;;;;Gemeinde Murg;;;;"Staatliche Organisation"
ngOV2G88zQFA9QFKyP963dVBlOILeAVHbQC;11876628;"Infanterie Ersatz Abteilung 9, Verfügungskompanie";;;;;;;None;"Staatliche Organisation"
ngVC3Z58gWMH0XMlfWu39kCKsWPSlHCAiWJ;11876635;"Infanterie Ersatz Regiment 5";;;;;;;;"Staatliche Organisation"
ngSZ3O28dSpE3UJWcUL02hZHpUMPiEZPfSm;11876632;"Bäckerei-Kompanie 260";;;;;;;36664;"Staatliche Organisation"
ngPW2H98aQcB0RGTzQ079eWImPpMfBWIcQz;11876629;"Infanterie-Divisions-Nachrichten-Abteilung 330";;;;;;;20828;"Staatliche Organisation"
ngNU2F78yPEZyPEZxNW57cUGkNnKdZUGaPB;11876627;"Gruppe geheime Feldpolizei 724";;;;;;;40833;"Staatliche Organisation"
ngLS2H58wLCXxNCDvLk37aSYiNFIbXSIyLZ;11876625;"Ersatz-Kompanie f. Pionier-Zg.(motorisiert)104";;;;;;;None;"Staatliche Organisation"
ngKR2G48vMRW6MBauLj2uzRZhMEHaWRHxMO;11876624;"Bäckereikompanie 239";;;;;;;6234;"Staatliche Organisation"
ngIP2I28tIPU6KZUsIR06xPdfKCFyUPJvIM;11876622;"4. Kompanie Bau-Bataillon 46";;;;;;;27787;"Staatliche Organisation"
