"nodegoat ID";"Object ID";Name;"Source Object ID";"Source Value";Analysis;"Alternativer Name";GeoNames;WikidataID
ngBI9v38mCyN6DSznB417qIQyCVYrNIwoCv;11876493;Munster;11387050;;;;2867542;
ngVC0Z98gVCH1XMDhVu7gkCSsGPR9HCOiWp;11876609;"Marinekaserne Husum";;;;"Fliegerhosrkaserne Husum";;
ngLS5X18wLSXxNCjxLE9vaSIiLFIbXSYyLP;11876651;"Leopoldkaserne München";;;;;;Q2110552
ngZG3D98kBGLjBQtlAS7joGIwZzWpLGEmBD;11922439;"Kriegerdenkmal Murg";;;;;;
ngGN4K68rGNSqIXYsGP4rvNVdHADwSNLtGK;11876646;Kotlyany;;;;;8216185;
ngXE8v98iZEJ0ZOPjZQ7imECuXRUnJEwkZB;11876689;Kosel;;;;;6551869;
ngDK1Z78oFUP7FURpDW5nsKMaDdAtPKAqFR;12016817;Karlsruhe;;;;;2892794;
ngMT5Y28xMDYwODQyN306bTRjOGJcYTZzMA;11876652;Jalta;;;;;688533;
ngYF3G88jYPKiAPwkY96knFpvYyVoKFHlYM;11922438;"Hotel Schützen, Säckingen";;;;"Hotel Schützen";;
ngYF3G88jYPKiAPwkY96knFpvYyVoKFHlYM;11922438;"Hotel Schützen, Säckingen";;;;Schützen;;
ngHO9b98sJYTsJYHtIQ72wOceJBExTOcuJV;11876499;Hannover;;;;;2910831;
ngGN9a88rINStIXKsHP69vNPdGgDwSNbtIK;11876698;Gießen;;;;;2920512;
ngSZ8q48dTpEdUJEeSB2chZLpTsPiEZrfTm;11920284;"Gasthaus zum Hirschen, Murg";;;;Hirschen;;
ngSZ8q48dTpEdUJEeSB2chZLpTsPiEZrfTm;11920284;"Gasthaus zum Hirschen, Murg";;;;"zum Hirschen";;
ngSZ8q48dTpEdUJEeSB2chZLpTsPiEZrfTm;11920284;"Gasthaus zum Hirschen, Murg";;;;"Gasthaus zum Hirschen";;
ngGN2C08rHNStIXYsHP81vNxdGgDwSNDtHK;11930320;"Gasthaus Salmen, Rhina";;;;Salmen;;
ngGN2C08rHNStIXYsHP81vNxdGgDwSNDtHK;11930320;"Gasthaus Salmen, Rhina";;;;"zum Salmen";;
ngUB0M88fUhG9WLYgVN61jBHrVORkGBNhUe;11919508;"Gasthaus Murgtal, Murg";;;;"Gasthaus zum Murgtal";;
ngWD1W08hWDIiYNuiX18jlDTtHQSjIDPjWq;11919510;"Gasthaus Mayerhof, Murg";;;;;;
ngDK4D38oEKP7FULpFM17sKAaDXAtPKEqEH;11922443;"Gasthaus Linde, Niederhof";;;;;;
ngVC0Z98gVCH0XMNhVu79kCKsGPR9HCOiWZ;11919509;"Gasthaus Adler, Murg";;;;;;
ngFM4F58qFsR6HWdrHY30uMScGZCvRMGsFp;11876645;Dresden;;;;;2935022;
ngCJ9w48nDJO8ETGoDb2orJPzDWZsOJxpDG;11876494;Danzig;11283266;;;Gdansk;3099434;
ngHO2H18sHeT5JYxtIA94wOUeHBExTOIuHb;11930321;Binzgen;;;;;2948738;
ngQX5C68bRXC8SHgcRp41fXDnSKNgCXDdRU;11876656;"bei Balka Chilekova";;;;;811604;
